popularity,original_title,director,runtime,vote_count,vote_average,release_year,budget_adj,revenue_adj,genres_2,rating_level,pop_level
32.985763,Jurassic World,Colin Trevorrow,124,5562,6.5,2015,137999939.3,1392445893.0,Action,Above Average,Very Popular
28.419936,Mad Max: Fury Road,George Miller,120,6185,7.1,2015,137999939.3,348161292.5,Action,High,Very Popular
13.112507,Insurgent,Robert Schwentke,119,2480,6.3,2015,101199955.5,271619025.4,Adventure,Above Average,Very Popular
11.173103999999999,Star Wars: The Force Awakens,J.J. Abrams,136,5292,7.5,2015,183999919.0,1902723130.0,Action,High,Very Popular
9.335014,Furious 7,James Wan,137,2947,7.3,2015,174799923.1,1385748801.0,Action,High,Very Popular
9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,3929,7.2,2015,124199945.4,490314247.0,Western,High,Very Popular
8.654359,Terminator Genisys,Alan Taylor,125,2598,5.8,2015,142599937.3,405355075.7,Science Fiction,Below Average,Very Popular
7.6674,The Martian,Ridley Scott,141,4572,7.6,2015,99359956.28,547749654.3,Drama,High,Very Popular
7.404164999999999,Minions,Kyle Balda|Pierre Coffin,91,2893,6.5,2015,68079970.04,1064192017.0,Family,Above Average,Very Popular
6.326804,Inside Out,Pete Docter,94,3935,8.0,2015,160999929.2,785411574.7,Comedy,High,Very Popular
6.200282,Spectre,Sam Mendes,148,3254,6.2,2015,225399900.8,810220283.8,Action,Below Average,Very Popular
6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,1937,5.2,2015,161919931.5,169268630.7,Science Fiction,Low,Very Popular
6.118847,Ex Machina,Alex Garland,108,2854,7.6,2015,13799993.93,33919845.96,Drama,High,Very Popular
5.984995,Pixels,Chris Columbus,105,1575,5.8,2015,80959964.38,224146025.1,Action,Below Average,Very Popular
5.944927,Avengers: Age of Ultron,Joss Whedon,141,4304,7.4,2015,257599886.7,1292632337.0,Action,High,Very Popular
5.8984,The Hateful Eight,Quentin Tarantino,167,2389,7.4,2015,40479982.19,143299244.6,Crime,High,Very Popular
5.749758,Taken 3,Olivier Megaton,109,1578,6.1,2015,44159980.57,299709578.2,Crime,Below Average,Very Popular
