id,popularity,original_title,director,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj
135397,32.985763,Jurassic World,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,5562,6.5,2015,137999939.3,1392445893.0
76341,28.419936,Mad Max: Fury Road,George Miller,120,Action|Adventure|Science Fiction|Thriller,6185,7.1,2015,137999939.3,348161292.5
262500,13.112507,Insurgent,Robert Schwentke,119,Adventure|Science Fiction|Thriller,2480,6.3,2015,101199955.5,271619025.4
140607,11.173103999999999,Star Wars: The Force Awakens,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,5292,7.5,2015,183999919.0,1902723130.0
168259,9.335014,Furious 7,James Wan,137,Action|Crime|Thriller,2947,7.3,2015,174799923.1,1385748801.0
281957,9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,3929,7.2,2015,124199945.4,490314247.0
87101,8.654359,Terminator Genisys,Alan Taylor,125,Science Fiction|Action|Thriller|Adventure,2598,5.8,2015,142599937.3,405355075.7
286217,7.6674,The Martian,Ridley Scott,141,Drama|Adventure|Science Fiction,4572,7.6,2015,99359956.28,547749654.3
211672,7.404164999999999,Minions,Kyle Balda|Pierre Coffin,91,Family|Animation|Adventure|Comedy,2893,6.5,2015,68079970.04,1064192017.0
150540,6.326804,Inside Out,Pete Docter,94,Comedy|Animation|Family,3935,8.0,2015,160999929.2,785411574.7
206647,6.200282,Spectre,Sam Mendes,148,Action|Adventure|Crime,3254,6.2,2015,225399900.8,810220283.8
76757,6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Science Fiction|Fantasy|Action|Adventure,1937,5.2,2015,161919931.5,169268630.7
264660,6.118847,Ex Machina,Alex Garland,108,Drama|Science Fiction,2854,7.6,2015,13799993.93,33919845.96
257344,5.984995,Pixels,Chris Columbus,105,Action|Comedy|Science Fiction,1575,5.8,2015,80959964.38,224146025.1
99861,5.944927,Avengers: Age of Ultron,Joss Whedon,141,Action|Adventure|Science Fiction,4304,7.4,2015,257599886.7,1292632337.0
273248,5.8984,The Hateful Eight,Quentin Tarantino,167,Crime|Drama|Mystery|Western,2389,7.4,2015,40479982.19,143299244.6
260346,5.749758,Taken 3,Olivier Megaton,109,Crime|Action|Thriller,1578,6.1,2015,44159980.57,299709578.2
102899,5.5731839999999995,Ant-Man,Peyton Reed,115,Science Fiction|Action|Adventure,3779,7.0,2015,119599947.4,477113780.0
150689,5.556818,Cinderella,Kenneth Branagh,112,Romance|Fantasy|Family|Drama,1495,6.8,2015,87399961.54,498963025.2
131634,5.476958,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,War|Adventure|Science Fiction,2380,6.5,2015,147199935.2,598481289.5
158852,5.4621379999999995,Tomorrowland,Brad Bird,130,Action|Family|Science Fiction|Adventure|Mystery,1899,6.2,2015,174799923.1,192312729.9
307081,5.337064,Southpaw,Antoine Fuqua,123,Action|Drama,1386,7.3,2015,27599987.86,84373003.72
254128,4.907832,San Andreas,Brad Peyton,114,Action|Drama|Thriller,2060,6.1,2015,101199955.5,432851375.0
216015,4.710401999999999,Fifty Shades of Grey,Sam Taylor-Johnson,125,Drama|Romance,1865,5.3,2015,36799983.81,524079119.0
318846,4.648046,The Big Short,Adam McKay,130,Comedy|Drama,1545,7.3,2015,25759988.67,122678731.5
177677,4.566713,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,Action,2349,7.1,2015,137999939.3,627743451.7
214756,4.5645489999999995,Ted 2,Seth MacFarlane,115,Comedy,1666,6.3,2015,62559972.47,198594430.1
207703,4.503789,Kingsman: The Secret Service,Matthew Vaughn,130,Crime|Comedy|Action|Adventure,3833,7.6,2015,74519967.21,371497801.7
314365,4.062293,Spotlight,Tom McCarthy,128,Drama|Thriller|History,1559,7.8,2015,18399991.9,81278719.4
294254,3.968891,Maze Runner: The Scorch Trials,Wes Ball,132,Action|Science Fiction|Thriller,1849,6.4,2015,56119975.31,286356245.9
198184,3.899557,Chappie,Neill Blomkamp,120,Crime|Action|Science Fiction,1990,6.6,2015,45079980.16,93903685.24
254470,3.877764,Pitch Perfect 2,Elizabeth Banks,115,Comedy|Music,1264,6.8,2015,26679988.26,264505582.1
296098,3.6482099999999997,Bridge of Spies,Steven Spielberg,141,Thriller|Drama,1638,7.1,2015,36799983.81,149601569.3
257445,3.6445410000000003,Goosebumps,Rob Letterman,103,Adventure|Horror|Comedy,600,6.2,2015,53359976.52,138157089.0
264644,3.557846,Room,Lenny Abrahamson,117,Drama|Thriller,1520,8.0,2015,5519997.571,32569603.03
105864,3.3391349999999997,The Good Dinosaur,Peter Sohn,93,Adventure|Animation|Comedy|Family|Fantasy,1087,6.6,2015,160999929.2,305371920.9
241554,3.23737,Run All Night,Jaume Collet-Serra,114,Action|Crime|Drama|Mystery|Thriller,814,6.3,2015,45999979.76,65836683.51
167073,3.227329,Brooklyn,John Crowley,111,Drama|Romance,754,7.3,2015,10119995.55,57110024.59
277216,3.2027189999999996,Straight Outta Compton,F. Gary Gray,147,Drama|Music,918,7.7,2015,25759988.67,185504110.1
274854,3.080505,The Last Witch Hunter,Breck Eisner,106,Fantasy|Action|Adventure,879,5.6,2015,82799963.57,129164861.2
321697,3.0795220000000003,Steve Jobs,Danny Boyle,122,History|Drama,1035,6.9,2015,27599987.86,31686509.22
203801,3.0534209999999997,The Man from U.N.C.L.E.,Guy Ritchie,116,Comedy|Action|Adventure,1548,7.0,2015,68999969.64,99493456.5
293863,3.025852,The Age of Adaline,Lee Toland Krieger,112,Fantasy|Drama|Romance,1221,7.3,2015,22999989.88,39219376.66
325348,3.023253,Hardcore Henry,Ilya Naishuller,97,Action|Adventure|Science Fiction,396,5.9,2015,9199995.952,13187081.0
228161,2.976436,Home,Tim Johnson,94,Fantasy|Comedy|Animation|Science Fiction|Family,1060,6.9,2015,124199945.4,339361177.1
286565,2.968254,Paper Towns,Jake Schreier,109,Drama|Mystery|Romance,1252,6.2,2015,11039995.14,78671281.38
254320,2.8851259999999996,The Lobster,Yorgos Lanthimos,118,Thriller|Comedy|Drama|Romance|Science Fiction,638,6.6,2015,3679998.381,8339346.451
258480,2.883233,Carol,Todd Haynes,118,Romance|Drama,562,7.1,2015,10855995.22,37050347.9
